id,pl_hostname,pl_letter,display_name,description,discovery_date,url,title,feature_title,mass_display,planet_type,st_dist,st_optmag,pl_radj,pl_rade,pl_massj,pl_discmethod,image,list_image,short_description,ranger_feature_id,ranger_system_id,ranger_system,exo_id,subtitle,categories,pl_kepflag,pl_facility,long_description
5440,Kepler-263,c,Kepler-263 c,"Kepler-263 c is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.66 Earths, it takes 47.3 days to complete one orbit of its star, and is 0.242 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5440/kepler-263-c/,Kepler-263 c,Kepler-263 c,6.66 Earths,Neptune-like,2462.0,15.435,0.22,2.47,0.021,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-263 c is a Neptune-like exoplanet that orbits a K-type star. Its mass is 6.66 Earths, it takes 47.3 days to complete one orbit of its star, and is 0.242 AU from its star. Its discovery was announced in 2014.",Kepler-263_c,Kepler-263,False,Kepler-263_c,A Neptune-like gas giant planet,[],True,Kepler,
5441,Kepler-264,b,Kepler-264 b,"Kepler-264 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 11.1 Earths, it takes 40.8 days to complete one orbit of its star, and is 0.249 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5441/kepler-264-b/,Kepler-264 b,Kepler-264 b,11.1 Earths,Neptune-like,3073.0,13.15,0.297,3.33,0.0348,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-264 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 11.1 Earths, it takes 40.8 days to complete one orbit of its star, and is 0.249 AU from its star. Its discovery was announced in 2014.",Kepler-264_b,Kepler-264,False,Kepler-264_b,A Neptune-like gas giant planet,[],True,Kepler,
5442,Kepler-265,b,Kepler-265 b,"Kepler-265 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.12 Earths, it takes 6.8 days to complete one orbit of its star, and is 0.069 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5442/kepler-265-b/,Kepler-265 b,Kepler-265 b,4.12 Earths,Super Earth,4176.0,15.47,0.166,1.86,0.013,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-265 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.12 Earths, it takes 6.8 days to complete one orbit of its star, and is 0.069 AU from its star. Its discovery was announced in 2014.",Kepler-265_b,Kepler-265,False,Kepler-265_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
5443,Kepler-265,c,Kepler-265 c,"Kepler-265 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.41 Earths, it takes 17 days to complete one orbit of its star, and is 0.127 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5443/kepler-265-c/,Kepler-265 c,Kepler-265 c,7.41 Earths,Neptune-like,4176.0,15.47,0.235,2.63,0.0233,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-265 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.41 Earths, it takes 17 days to complete one orbit of its star, and is 0.127 AU from its star. Its discovery was announced in 2014.",Kepler-265_c,Kepler-265,False,Kepler-265_c,A Neptune-like gas giant planet,[],True,Kepler,
5444,Kepler-265,d,Kepler-265 d,"Kepler-265 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.76 Earths, it takes 43.1 days to complete one orbit of its star, and is 0.236 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5444/kepler-265-d/,Kepler-265 d,Kepler-265 d,6.76 Earths,Neptune-like,4176.0,15.47,0.222,2.49,0.0213,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-265 d is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.76 Earths, it takes 43.1 days to complete one orbit of its star, and is 0.236 AU from its star. Its discovery was announced in 2014.",Kepler-265_d,Kepler-265,False,Kepler-265_d,A Neptune-like gas giant planet,[],True,Kepler,
5445,Kepler-266,b,Kepler-266 b,"Kepler-266 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.71 Earths, it takes 6.6 days to complete one orbit of its star, and is 0.071 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5445/kepler-266-b/,Kepler-266 b,Kepler-266 b,6.71 Earths,Neptune-like,4472.0,15.787,0.221,2.48,0.0211,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-266 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.71 Earths, it takes 6.6 days to complete one orbit of its star, and is 0.071 AU from its star. Its discovery was announced in 2014.",Kepler-266_b,Kepler-266,False,Kepler-266_b,A Neptune-like gas giant planet,[],True,Kepler,
5446,Kepler-266,c,Kepler-266 c,"Kepler-266 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 14.4 Earths, it takes 107.7 days to complete one orbit of its star, and is 0.457 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5446/kepler-266-c/,Kepler-266 c,Kepler-266 c,14.4 Earths,Neptune-like,4472.0,15.787,0.347,3.89,0.0453,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-266 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 14.4 Earths, it takes 107.7 days to complete one orbit of its star, and is 0.457 AU from its star. Its discovery was announced in 2014.",Kepler-266_c,Kepler-266,False,Kepler-266_c,A Neptune-like gas giant planet,[],True,Kepler,
5447,Kepler-267,b,Kepler-267 b,"Kepler-267 b is a super Earth exoplanet that orbits a K-type star. Its mass is 37.9 Earths, it takes 3.4 days to complete one orbit of its star, and is 0.037 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5447/kepler-267-b/,Kepler-267 b,Kepler-267 b,37.9 Earths,Super Earth,864.0,16.69,0.177,1.98,0.119,Transit,/assets/content/planets/superearth.jpg,/assets/content/planets/superearth_sq.jpg,"Kepler-267 b is a super Earth exoplanet that orbits a K-type star. Its mass is 37.9 Earths, it takes 3.4 days to complete one orbit of its star, and is 0.037 AU from its star. Its discovery was announced in 2014.",Kepler-267_b,Kepler-267,False,Kepler-267_b,"A potentially rocky world, larger than Earth",[],True,Kepler,
5448,Kepler-267,d,Kepler-267 d,"Kepler-267 d is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.77 Earths, it takes 28.5 days to complete one orbit of its star, and is 0.154 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5448/kepler-267-d/,Kepler-267 d,Kepler-267 d,5.77 Earths,Neptune-like,864.0,16.69,0.203,2.27,0.0182,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-267 d is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.77 Earths, it takes 28.5 days to complete one orbit of its star, and is 0.154 AU from its star. Its discovery was announced in 2014.",Kepler-267_d,Kepler-267,False,Kepler-267_d,A Neptune-like gas giant planet,[],True,Kepler,
5449,Kepler-268,b,Kepler-268 b,"Kepler-268 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.04 Earths, it takes 25.9 days to complete one orbit of its star, and is 0.18 AU from its star. Its discovery was announced in 2014.",2014,/exoplanet-catalog/5449/kepler-268-b/,Kepler-268 b,Kepler-268 b,7.04 Earths,Neptune-like,2779.0,13.844,0.227,2.55,0.0221,Transit,/assets/content/planets/neptunelike.jpg,/assets/content/planets/neptunelike_sq.jpg,"Kepler-268 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.04 Earths, it takes 25.9 days to complete one orbit of its star, and is 0.18 AU from its star. Its discovery was announced in 2014.",Kepler-268_b,Kepler-268,False,Kepler-268_b,A Neptune-like gas giant planet,[],True,Kepler,
